"","Sub_District","date","vaccintion_rate"
"374","ROROTAN",2022-04-30,83.9469136987616
"375","ROROTAN",2022-06-30,84.2085053278295
"376","ROROTAN",2021-11-30,80.7622156091005
"377","ROROTAN",2021-09-30,75.4463857156571
"378","ROROTAN",2021-08-31,65.7218968992992
"379","ROROTAN",2021-12-31,81.834981280599
"380","ROROTAN",2022-01-31,82.8861476432754
"381","ROROTAN",2021-07-31,54.432658154939
"382","ROROTAN",2022-03-31,83.5629259863684
"383","ROROTAN",2022-05-31,84.0357108572526
"384","ROROTAN",2021-10-31,79.2742632235769
"385","SEMPER BARAT",2022-02-27,83.7738930117952
"386","SEMPER BARAT",2022-04-30,84.7026404420663
"387","SEMPER BARAT",2022-06-30,84.9184247743742
"388","SEMPER BARAT",2021-11-30,81.3492352778223
"389","SEMPER BARAT",2021-09-30,76.1966553428492
"390","SEMPER BARAT",2021-08-31,66.2720340589324
"391","SEMPER BARAT",2021-12-31,82.4354469505883
"392","SEMPER BARAT",2022-01-31,83.4750025515039
"393","SEMPER BARAT",2021-07-31,56.6433872308163
"394","SEMPER BARAT",2022-03-31,84.2652397684692
"395","SEMPER BARAT",2022-05-31,84.7697085453512
"396","SEMPER BARAT",2021-10-31,79.6900287226442
"397","PADEMANGAN TIMUR",2022-02-27,84.9321602713589
"398","PADEMANGAN TIMUR",2022-04-30,85.6079075683697
"399","PADEMANGAN TIMUR",2022-06-30,85.8517065931736
"400","PADEMANGAN TIMUR",2021-11-30,83.0559677761289
"401","PADEMANGAN TIMUR",2021-09-30,78.6622853508586
"402","PADEMANGAN TIMUR",2021-08-31,68.3670765316939
"403","PADEMANGAN TIMUR",2021-12-31,83.9914140343439
"404","PADEMANGAN TIMUR",2022-01-31,84.7705109179563
"405","PADEMANGAN TIMUR",2021-07-31,59.37566249735
"406","PADEMANGAN TIMUR",2022-03-31,85.2925588297647
"407","PADEMANGAN TIMUR",2022-05-31,85.7112571549714
"408","PADEMANGAN TIMUR",2021-10-31,81.7362730549078
"409","PADEMANGAN BARAT",2022-02-27,80.8283943965517
"410","PADEMANGAN BARAT",2022-04-30,81.6042564655172
"411","PADEMANGAN BARAT",2022-06-30,81.8372844827586
"412","PADEMANGAN BARAT",2021-11-30,77.4919181034483
"413","PADEMANGAN BARAT",2021-09-30,72.2144396551724
"414","PADEMANGAN BARAT",2021-08-31,62.0191271551724
"415","PADEMANGAN BARAT",2021-12-31,79.1500538793103
"416","PADEMANGAN BARAT",2022-01-31,80.5374461206897
"417","PADEMANGAN BARAT",2021-07-31,50.4700969827586
"418","PADEMANGAN BARAT",2022-03-31,81.2675107758621
"419","PADEMANGAN BARAT",2022-05-31,81.7120150862069
"420","PADEMANGAN BARAT",2021-10-31,75.440463362069
"421","ANCOL",2022-02-27,80.8243203741596
"422","ANCOL",2022-04-30,81.421472418257
"423","ANCOL",2022-06-30,81.6177391740093
"424","ANCOL",2021-11-30,76.9198647012152
"425","ANCOL",2021-09-30,72.0716582452917
"426","ANCOL",2021-08-31,61.6194095293774
"427","ANCOL",2021-12-31,78.8616528166367
"428","ANCOL",2022-01-31,80.5946465110452
"429","ANCOL",2021-07-31,48.498768112916
"430","ANCOL",2022-03-31,81.1166325635779
"431","ANCOL",2022-05-31,81.4590554140393
"432","ANCOL",2021-10-31,74.9822524742139
"433","KELAPA GADING TIMUR",2022-02-27,86.3598475827578
"434","KELAPA GADING TIMUR",2022-04-30,86.797451774232
"435","KELAPA GADING TIMUR",2022-06-30,86.9998809240295
"436","KELAPA GADING TIMUR",2021-11-30,85.1512264824958
"437","KELAPA GADING TIMUR",2021-09-30,81.9153369849964
"438","KELAPA GADING TIMUR",2021-08-31,70.5763276970707
"439","KELAPA GADING TIMUR",2021-12-31,85.7376756370564
"440","KELAPA GADING TIMUR",2022-01-31,86.2407716122886
"441","KELAPA GADING TIMUR",2021-07-31,63.7175517980472
"442","KELAPA GADING TIMUR",2022-03-31,86.5920457251727
"443","KELAPA GADING TIMUR",2022-05-31,86.9224815432246
"444","KELAPA GADING TIMUR",2021-10-31,84.3117408906883
"445","CENGKARENG BARAT",2022-02-27,83.5661698147366
"446","CENGKARENG BARAT",2022-04-30,84.1485124615292
"447","CENGKARENG BARAT",2022-06-30,84.3551988413493
"448","CENGKARENG BARAT",2021-11-30,80.9501538832901
"449","CENGKARENG BARAT",2021-09-30,75.0814676241627
"450","CENGKARENG BARAT",2021-08-31,64.3201979361535
"451","CENGKARENG BARAT",2021-12-31,82.0077243376984
"452","CENGKARENG BARAT",2022-01-31,83.3428881781425
"453","CENGKARENG BARAT",2021-07-31,52.4621326413614
"454","CENGKARENG BARAT",2022-03-31,83.9297568040553
"455","CENGKARENG BARAT",2022-05-31,84.2360147245187
"456","CENGKARENG BARAT",2021-10-31,79.1774787278981
"457","MANGGA BESAR",2022-02-27,85.1304009342156
"458","MANGGA BESAR",2022-04-30,85.6883352796159
"459","MANGGA BESAR",2022-06-30,85.8310626702997
"460","MANGGA BESAR",2021-11-30,83.6382509407032
"461","MANGGA BESAR",2021-09-30,79.8624626962502
"462","MANGGA BESAR",2021-08-31,68.9113792656027
"463","MANGGA BESAR",2021-12-31,84.1702348514338
"464","MANGGA BESAR",2022-01-31,84.9617231088621
"465","MANGGA BESAR",2021-07-31,60.2958349552355
"466","MANGGA BESAR",2022-03-31,85.3899052809135
"467","MANGGA BESAR",2022-05-31,85.7791618009602
"468","MANGGA BESAR",2021-10-31,82.600233553912
"469","KAPUK",2022-02-27,80.0678238365089
"470","KAPUK",2022-04-30,80.8427409159193
"471","KAPUK",2022-06-30,81.1268275995419
"472","KAPUK",2021-11-30,77.0321122068032
"473","KAPUK",2021-09-30,71.3451727574257
"474","KAPUK",2021-08-31,60.8756116787887
"475","KAPUK",2021-12-31,78.8370294349501
"476","KAPUK",2022-01-31,79.7525024913361
"477","KAPUK",2021-07-31,44.7979414870674
"478","KAPUK",2022-03-31,80.5110585575536
"479","KAPUK",2022-05-31,80.9542932785983
"480","KAPUK",2021-10-31,74.8903068433656
"481","CENGKARENG TIMUR",2022-02-27,83.2302812642699
"482","CENGKARENG TIMUR",2022-04-30,83.9707751737075
"483","CENGKARENG TIMUR",2022-06-30,84.2114356942748
"484","CENGKARENG TIMUR",2021-11-30,81.0334826662717
"485","CENGKARENG TIMUR",2021-09-30,75.7216730225727
"486","CENGKARENG TIMUR",2021-08-31,65.1289076480679
"487","CENGKARENG TIMUR",2021-12-31,82.0528959482642
"488","CENGKARENG TIMUR",2022-01-31,82.9809816480926
"489","CENGKARENG TIMUR",2021-07-31,47.797647697681
"490","CENGKARENG TIMUR",2022-03-31,83.6363187579449
"491","CENGKARENG TIMUR",2022-05-31,84.0633369123872
"492","CENGKARENG TIMUR",2021-10-31,79.4068643785405
"493","TANJUNG DUREN UTARA",2022-02-27,85.3615520282187
"494","TANJUNG DUREN UTARA",2022-04-30,85.9847148736038
"495","TANJUNG DUREN UTARA",2022-06-30,86.0846560846561
"496","TANJUNG DUREN UTARA",2021-11-30,83.7977660199882
"497","TANJUNG DUREN UTARA",2021-09-30,78.6772486772487
"498","TANJUNG DUREN UTARA",2021-08-31,66.4726631393298
"499","TANJUNG DUREN UTARA",2021-12-31,84.5855379188713
"500","TANJUNG DUREN UTARA",2022-01-31,85.1969429747208
"501","TANJUNG DUREN UTARA",2021-07-31,59.0476190476191
"502","TANJUNG DUREN UTARA",2022-03-31,85.7201646090535
"503","TANJUNG DUREN UTARA",2022-05-31,86.0258671369782
"504","TANJUNG DUREN UTARA",2021-10-31,82.5631981187537
"505","JELAMBAR",2022-02-27,84.4148549527523
